Charger_ID,Vehicle_ID,Energy_kWh,Duration_min,Source,Fleet_ID
CH007,EV040,25.385342818258167,59.12926395053004,EVSE,
CH007,EV014,30.666572785086245,54.49398179507215,EVSE,
CH007,EV040,28.237143380742413,28.73866410826974,EVSE,
CH007,EV014,42.00892771949528,44.08738015725974,EVSE,
CH007,EV040,36.98398941331722,78.61168801542203,EVSE,
CH007,,28.283711647735814,73.55534819346683,EVSE,
CH007,EV031,20.928134198526053,73.96880518421924,EVSE,
CH007,EV014,41.88625726430611,63.47204127329609,EVSE,
CH007,EV031,37.85532124498245,73.24569027238124,,
CH007,EV031,56.56010091272043,,EVSE,
,EV040,32.6348604023021,56.6358982380183,EVSE,
CH007,EV014,46.41771116014076,83.29537291009048,EVSE,
CH007,EV040,34.608163001486375,55.0850462514592,EVSE,
CH007,EV040,30.859234716308144,44.60664452667783,EVSE,
CH007,EV040,14.900427177833912,84.24344684266252,EVSE,
CH007,EV040,37.21502462358646,84.66993609086114,EVSE,
CH007,EV040,,28.516894261118907,EVSE,
CH007,EV040,24.866745946028335,72.7590588644978,EVSE,
CH030,EV014,38.53997786494901,61.18562568106392,EVSE,
CH030,EV014,47.88593857325462,78.21024436989336,EVSE,
CH030,EV017,35.668940707870874,59.4054928462522,EVSE,
CH030,EV017,28.354995658380957,21.272475800307998,EVSE,
CH030,EV013,,43.05284943774713,EVSE,
CH030,EV013,10.654298044989504,87.28866894640637,,
CH030,EV017,31.50659043483281,83.440578076088,EVSE,
CH030,EV013,29.842850601475533,52.537616206992745,EVSE,
,EV013,16.699259344852152,70.07194128289635,EVSE,
CH030,EV040,29.74712374428872,115.67876092979674,EVSE,
CH030,EV013,43.431682122967786,59.37626403666312,EVSE,
CH030,EV014,22.654523500524736,59.76833360436012,EVSE,
CH030,EV013,20.40105367886094,63.811974102290456,EVSE,
CH030,EV013,41.04928218450149,72.1395141913725,EVSE,
CH030,,36.3424029626429,53.02197634454497,EVSE,
CH030,EV014,60.6109521437826,,EVSE,
CH030,EV013,16.814298392418873,21.115408125008003,EVSE,
CH030,EV013,37.20387242038197,66.72797527572504,EVSE,
CH030,EV040,33.158909071523155,61.01259621830333,EVSE,
CH011,EV017,21.10853787158112,67.31531507613386,Vehicle,
CH003,EV017,26.66078609028576,42.83927404137019,Vehicle,
CH003,,32.079923737493324,40.03658835043366,Vehicle,
CH011,EV017,21.283762010840256,70.40167049372258,Vehicle,
CH003,EV017,20.022102680749768,19.44386097541792,Vehicle,
CH003,EV017,22.15609087266912,73.55048420814009,Vehicle,
CH011,EV017,32.61608875077356,45.46513636885538,Vehicle,
CH003,EV017,36.62040197969897,49.93155756514555,Vehicle,
CH011,EV017,27.896111295539765,39.76486098319769,Vehicle,
CH011,EV017,29.650513072285797,49.2770677169628,Vehicle,
CH003,EV017,19.962393141879097,69.06707338971373,Vehicle,
CH003,EV017,32.014037199618606,61.5629465219606,Vehicle,
CH003,EV017,,57.39029725700608,Vehicle,
CH003,EV017,19.31897633658013,51.33309509197616,,
CH011,EV017,10.698627104545745,28.315850412918763,Vehicle,
CH003,EV017,15.235439165745165,,Vehicle,
CH011,EV017,19.646378174550296,44.85198145053248,Vehicle,
CH003,EV017,34.2954985419742,56.865146816432585,Vehicle,
CH003,EV017,37.42287820671461,51.04478996778319,Vehicle,
CH003,EV017,21.48385699620578,64.75256459537698,Vehicle,
CH011,EV017,21.736677177829637,57.10441081591347,Vehicle,
CH003,EV017,27.09298444777973,50.81525866907857,Vehicle,
CH003,EV017,25.097172072585803,84.13641946350805,Vehicle,
CH003,EV017,32.44747267179263,56.09340027574893,Vehicle,
CH003,EV017,20.81449525130312,43.52086697587441,Vehicle,
,EV017,32.59314390224799,77.89950509730394,Vehicle,
CH003,EV017,23.08620161704196,68.00617322620097,Vehicle,
CH011,EV017,31.83179768854285,77.24131685365722,Vehicle,
CH011,EV017,22.831676301691655,48.33602096555735,Vehicle,
CH011,EV017,20.09524253673297,64.64463689721654,Vehicle,
CH011,EV017,40.29854111871977,28.207258113914587,Vehicle,
CH011,EV017,33.52181666037534,61.760096163712525,Vehicle,
CH011,EV017,10.66363919891828,47.63414062618845,Vehicle,
CH003,EV017,21.42581190568074,29.67413066723101,Vehicle,
CH011,EV017,34.63938337422859,65.48900606026965,,
,EV017,15.426716246291823,22.84803012505976,Vehicle,
CH011,EV017,31.16542663618489,21.309402244036715,Vehicle,
CH003,EV017,30.33644882775833,55.43714688207953,Vehicle,
CH003,,,58.57021265490182,Vehicle,
CH011,EV017,24.92946363003354,64.55785730019817,Vehicle,
CH003,EV017,8.279858010957764,61.12944524794197,Vehicle,
CH011,EV017,39.16345213253375,72.14987938144444,Vehicle,
CH011,EV017,112.63629963212313,60.503644300436285,Vehicle,
CH003,EV017,31.43050441101007,48.01550834086306,Vehicle,
CH011,EV017,29.9107307318034,48.8958332631214,Vehicle,
CH003,EV017,35.86304630479991,45.76668216519184,Vehicle,
CH003,EV017,21.53357274477952,,Vehicle,
CH011,EV017,26.63058182021974,33.53981197150013,Vehicle,
CH011,EV017,29.47287362091622,55.1138329783843,Vehicle,
CH003,EV017,31.980332731443838,48.7037973975258,Vehicle,
CH007,EV011,26.45493004046796,66.41287277706422,Vehicle,
CH004,EV011,26.98576469040269,24.61303055427771,Vehicle,
CH007,EV011,,72.9432547919092,Vehicle,
CH015,EV011,18.201245044281663,47.62988152131516,,
CH015,EV011,31.642686532353963,43.5967839507887,Vehicle,
CH019,EV011,18.15132939272906,34.81843437109749,Vehicle,
CH015,EV011,25.57252989775514,25.17714992201346,Vehicle,
CH007,EV011,21.178740425879067,62.34755875942872,Vehicle,
,EV011,28.831838605971136,51.09976950782606,Vehicle,
CH019,EV011,27.669296842295587,30.650586503884192,Vehicle,
CH004,EV011,33.30031955406319,30.57381841904576,Vehicle,
CH007,EV011,20.919868809162026,44.96322951064808,Vehicle,
CH004,,22.84100051765303,75.0353228793409,Vehicle,
CH019,EV011,17.16989027374154,46.10612972954593,Vehicle,
CH019,EV011,21.445653919391106,27.45285570322841,Vehicle,
CH019,EV011,28.018403944358816,,Vehicle,
CH004,EV011,31.05590893316281,45.90914645378494,Vehicle,
,EV011,17.622677406578998,9.546700355876425,Vehicle,
CH004,EV011,31.95684736084528,49.18557700223282,Vehicle,
CH004,EV011,35.845102870439604,46.53598204686983,Vehicle,
CH019,EV011,28.307479225789606,60.44309547220128,Vehicle,
CH019,EV011,40.014366500464526,77.73434142418017,Vehicle,
CH007,EV011,18.809686407171416,66.89847544321637,Vehicle,
CH007,EV011,15.042762373508664,45.96666964167754,Vehicle,
